ORIGIN,DEST,UNIQUE_CARRIER,DAY_OF_WEEK,DEP_HOUR,ARR_DELAY
ATL,IAH,DL,2,12,5.0
LAX,LAS,WN,2,11,11.0
DEN,DFW,OO,2,8,108.0
ORD,ATL,DL,7,9,14.0
SFO,LAX,WN,5,17,27.0
IAH,ORD,UA,7,16,58.0
LAX,DEN,WN,3,10,8.0
PHX,ATL,WN,4,14,14.0
DFW,SFO,OO,4,17,57.0
PHX,DEN,WN,4,12,97.0
LAX,LAS,WN,3,8,19.0
SFO,LAX,WN,1,17,32.0
LAS,DEN,WN,3,11,64.0
ORD,BOS,B6,6,13,65.0
DEN,DFW,AA,7,10,19.0
DEN,PHX,WN,6,18,82.0
ORD,ATL,DL,4,8,127.0
DFW,BOS,AA,5,16,37.0
DFW,ORD,AA,1,15,8.0
IAH,ORD,UA,4,16,8.0
ORD,BOS,UA,2,13,21.0
DFW,PHX,US,6,18,18.0
LAX,PHX,WN,1,19,5.0
ORD,BOS,UA,1,18,217.0
SFO,LAX,UA,4,7,36.0
SFO,LAS,F9,1,21,68.0
PHX,SFO,OO,1,18,30.0
LAX,ATL,DL,2,5,36.0
LAX,DFW,AA,5,18,9.0
SFO,ATL,DL,2,23,46.0
ATL,PHX,DL,3,20,9.0
LAX,PHX,WN,5,16,15.0
PHX,DEN,WN,5,19,203.0
LAX,LAS,AA,7,16,21.0
IAH,SFO,UA,5,11,24.0
LAS,ATL,WN,7,17,31.0
ORD,ATL,DL,1,18,407.0
ATL,LAX,DL,5,7,38.0
LAX,SFO,UA,4,13,9.0
LAX,DEN,UA,5,6,12.0
LAX,LAS,OO,2,7,11.0
PHX,LAX,DL,6,7,10.0
ORD,IAH,UA,3,13,6.0
SFO,ATL,DL,3,16,128.0
SFO,ORD,AA,2,12,237.0
DFW,IAH,EV,1,13,69.0
SFO,LAS,B6,4,12,95.0
PHX,DEN,US,3,13,26.0
SFO,LAX,DL,5,8,350.0
ORD,IAH,UA,3,7,23.0
LAX,SFO,UA,4,20,68.0
DEN,DFW,AA,2,16,91.0
IAH,SFO,UA,2,16,5.0
ORD,BOS,B6,1,14,63.0
PHX,LAX,WN,1,15,9.0
LAS,ORD,AA,2,12,27.0
ORD,LAX,UA,4,19,82.0
DEN,IAH,UA,5,16,6.0
LAS,LAX,DL,1,13,13.0
LAX,DFW,AA,4,15,10.0
SFO,IAH,UA,2,15,28.0
ORD,DEN,AA,6,14,16.0
SFO,ORD,UA,1,11,52.0
ORD,LAX,AA,1,14,8.0
LAS,LAX,WN,7,20,38.0
DEN,PHX,WN,4,7,34.0
DFW,SFO,AA,1,20,131.0
BOS,ATL,WN,7,17,5.0
IAH,DFW,EV,3,9,137.0
LAS,SFO,OO,1,20,66.0
LAX,PHX,WN,3,14,22.0
ATL,SFO,DL,4,16,8.0
SFO,PHX,US,3,9,7.0
BOS,ORD,B6,2,17,7.0
DEN,SFO,UA,2,17,19.0
LAS,DEN,WN,3,14,18.0
DFW,SFO,OO,1,19,44.0
SFO,DFW,AA,5,5,19.0
ATL,IAH,OO,7,17,24.0
DEN,DFW,AA,4,5,19.0
ATL,IAH,EV,3,17,266.0
DFW,ORD,AA,1,11,18.0
LAX,ORD,UA,1,19,5.0
SFO,LAX,WN,1,20,20.0
SFO,LAX,AA,2,20,58.0
SFO,PHX,WN,4,11,24.0
DEN,PHX,UA,5,21,14.0
SFO,DFW,OO,6,8,5.0
LAX,ATL,DL,4,9,21.0
PHX,BOS,US,6,23,21.0
LAX,LAS,WN,5,11,14.0
DEN,DFW,AA,3,17,6.0
DEN,SFO,UA,2,22,97.0
ATL,ORD,DL,2,15,11.0
DEN,LAX,WN,3,12,32.0
ATL,ORD,DL,5,8,6.0
SFO,DEN,F9,7,17,63.0
PHX,DEN,US,6,12,55.0
LAX,PHX,OO,7,11,51.0
SFO,IAH,UA,1,8,66.0
PHX,LAX,OO,3,16,8.0
IAH,LAS,UA,3,21,51.0
IAH,DEN,UA,5,11,5.0
ORD,DEN,UA,5,17,80.0
IAH,LAX,UA,7,19,119.0
DEN,SFO,UA,4,15,24.0
ATL,BOS,DL,5,17,16.0
IAH,SFO,UA,3,9,9.0
BOS,ORD,UA,3,15,60.0
LAX,SFO,AA,4,13,9.0
DFW,LAX,OO,5,20,31.0
BOS,LAX,UA,5,18,84.0
DEN,DFW,AA,6,6,16.0
ATL,PHX,DL,7,19,14.0
PHX,DFW,US,7,8,34.0
ORD,SFO,AA,4,15,17.0
ORD,LAX,AA,4,13,9.0
ORD,LAX,UA,3,8,11.0
SFO,ORD,UA,2,16,9.0
DEN,DFW,AA,2,19,14.0
DEN,ATL,DL,4,10,58.0
LAX,SFO,UA,3,11,28.0
DFW,DEN,AA,4,8,36.0
LAX,PHX,OO,7,13,20.0
ORD,BOS,B6,1,13,24.0
PHX,LAX,US,2,7,8.0
LAX,PHX,WN,4,11,13.0
LAX,IAH,UA,7,13,12.0
LAX,PHX,US,7,16,6.0
BOS,LAX,B6,2,8,25.0
DEN,PHX,OO,5,8,35.0
DEN,ORD,UA,7,17,32.0
ORD,DEN,UA,4,12,9.0
LAX,PHX,AA,6,16,30.0
LAX,SFO,AA,2,12,158.0
IAH,DFW,EV,5,7,6.0
SFO,PHX,WN,2,12,54.0
ORD,LAX,UA,2,13,5.0
LAX,SFO,WN,3,20,13.0
DFW,DEN,UA,3,5,7.0
ORD,SFO,AA,4,10,29.0
LAX,DFW,AA,7,11,13.0
DEN,ORD,UA,5,13,52.0
DEN,PHX,WN,4,5,24.0
LAX,PHX,WN,1,12,11.0
ATL,LAS,DL,7,10,11.0
SFO,BOS,UA,3,8,10.0
LAX,PHX,OO,1,7,19.0
LAX,DFW,OO,5,8,18.0
DEN,DFW,AA,5,10,14.0
IAH,ATL,DL,5,13,77.0
SFO,DEN,UA,5,11,14.0
LAX,SFO,WN,3,17,200.0
DEN,PHX,WN,2,16,38.0
ORD,LAX,AA,1,10,30.0
LAX,DEN,WN,4,17,14.0
DEN,LAX,UA,3,15,16.0
ORD,SFO,UA,1,16,105.0
LAX,DFW,AA,4,8,29.0
SFO,DEN,UA,7,17,14.0
IAH,LAX,UA,6,11,19.0
DFW,IAH,AA,5,16,71.0
SFO,LAS,WN,4,15,110.0
DEN,LAX,UA,7,14,5.0
PHX,ORD,AA,5,13,40.0
BOS,LAX,DL,6,17,14.0
ORD,LAS,UA,4,16,6.0
DFW,SFO,AA,4,16,143.0
DEN,ORD,UA,5,10,55.0
DEN,ATL,DL,6,9,34.0
ORD,DEN,UA,3,15,8.0
DEN,DFW,OO,2,14,33.0
SFO,IAH,UA,3,14,6.0
ORD,DFW,AA,2,16,101.0
LAS,BOS,B6,3,23,27.0
PHX,DFW,AA,3,15,17.0
DFW,LAX,AA,1,8,6.0
DEN,ORD,UA,1,12,33.0
LAX,SFO,UA,3,6,22.0
IAH,DFW,AA,2,18,89.0
DEN,ORD,UA,6,17,9.0
ATL,DFW,AA,4,17,167.0
DEN,IAH,F9,1,14,157.0
LAX,ORD,AA,5,17,5.0
ORD,PHX,US,5,5,13.0
SFO,LAX,WN,1,6,11.0
LAX,LAS,WN,3,10,19.0
LAX,LAS,WN,1,18,41.0
SFO,LAX,WN,7,10,167.0
PHX,LAX,OO,7,13,27.0
LAX,LAS,WN,7,18,31.0
PHX,ORD,UA,3,15,24.0
ATL,DFW,AA,3,13,34.0
DFW,IAH,AA,5,11,50.0
BOS,ORD,AA,4,7,24.0
LAS,IAH,UA,1,9,6.0
DFW,ORD,AA,2,17,27.0
IAH,DFW,OO,2,15,11.0
DFW,DEN,AA,5,20,8.0
DFW,LAS,AA,4,15,164.0
DEN,ATL,F9,4,23,13.0
LAX,SFO,WN,7,15,5.0
DEN,DFW,AA,3,10,33.0
ATL,DEN,OO,1,15,147.0
LAX,DFW,OO,4,19,12.0
IAH,BOS,UA,2,17,119.0
ORD,IAH,UA,2,9,123.0
ORD,DEN,AA,2,7,83.0
LAS,IAH,UA,1,15,29.0
LAX,BOS,B6,4,7,9.0
BOS,LAX,B6,1,6,34.0
PHX,LAS,WN,7,22,26.0
ORD,LAX,UA,6,17,82.0
LAX,LAS,WN,5,18,29.0
PHX,LAX,OO,3,18,17.0
LAS,LAX,WN,5,16,124.0
ORD,DFW,AA,5,20,20.0
DFW,SFO,AA,6,13,6.0
SFO,DFW,AA,4,10,48.0
DEN,LAS,F9,4,9,13.0
LAS,LAX,WN,2,15,22.0
ATL,LAS,DL,1,8,41.0
LAX,SFO,WN,2,13,9.0
SFO,PHX,UA,3,20,231.0
LAS,DFW,AA,1,12,27.0
LAS,SFO,OO,5,11,16.0
LAS,SFO,WN,7,16,7.0
BOS,ORD,AA,1,17,17.0
LAS,SFO,UA,5,6,6.0
DEN,LAX,F9,6,7,12.0
ATL,LAX,DL,7,11,43.0
LAS,LAX,AA,1,20,5.0
LAS,SFO,WN,1,9,32.0
SFO,ORD,UA,5,17,7.0
DEN,IAH,UA,2,13,108.0
DFW,SFO,OO,2,20,51.0
ORD,BOS,UA,2,18,20.0
IAH,PHX,F9,2,14,33.0
DEN,SFO,WN,7,16,11.0
DEN,BOS,WN,7,10,9.0
BOS,ORD,AA,2,14,20.0
LAS,SFO,UA,2,13,48.0
ORD,PHX,AA,2,9,36.0
ORD,BOS,UA,5,17,252.0
DEN,ATL,UA,2,20,84.0
SFO,ORD,AA,4,12,72.0
IAH,ATL,EV,3,17,26.0
PHX,DEN,UA,3,12,12.0
DFW,ORD,AA,7,10,7.0
BOS,LAS,B6,1,8,172.0
ORD,DEN,UA,3,7,32.0
ATL,LAS,DL,4,21,20.0
DFW,ORD,AA,5,14,26.0
DFW,LAX,AA,7,14,29.0
PHX,ORD,UA,7,10,186.0
BOS,DEN,B6,2,9,56.0
ATL,DFW,AA,3,15,55.0
LAX,PHX,OO,3,12,38.0
PHX,LAS,WN,5,13,21.0
LAX,LAS,OO,1,17,138.0
ATL,PHX,DL,6,8,27.0
IAH,BOS,UA,5,10,6.0
ORD,DEN,AA,7,17,7.0
LAX,PHX,OO,3,12,17.0
ATL,DFW,DL,1,19,10.0
ORD,BOS,UA,1,13,47.0
ATL,SFO,WN,5,12,95.0
LAX,DEN,UA,1,10,17.0
DFW,ATL,AA,4,16,22.0
PHX,LAX,WN,1,13,40.0
LAX,PHX,OO,5,7,25.0
ATL,BOS,DL,5,20,16.0
DEN,ORD,UA,2,14,19.0
ORD,BOS,AA,3,13,47.0
DFW,BOS,AA,4,10,6.0
PHX,IAH,US,7,8,14.0
LAX,PHX,OO,3,16,10.0
LAX,DEN,UA,2,14,5.0
ORD,IAH,UA,6,9,6.0
DFW,DEN,AA,3,7,30.0
ATL,LAS,WN,2,19,48.0
LAS,LAX,WN,4,12,13.0
PHX,LAS,WN,6,18,8.0
PHX,LAX,OO,4,16,12.0
SFO,LAS,WN,5,12,36.0
ATL,SFO,DL,6,16,7.0
DFW,SFO,OO,4,6,176.0
BOS,SFO,UA,2,17,34.0
DFW,LAX,AA,1,8,15.0
DEN,LAX,F9,7,13,5.0
SFO,LAX,UA,1,15,64.0
DFW,LAS,AA,7,10,5.0
SFO,ATL,DL,7,6,14.0
LAS,DEN,UA,7,9,6.0
LAX,BOS,DL,1,9,43.0
ORD,LAS,UA,6,12,21.0
ORD,LAX,AA,4,17,36.0
ORD,DEN,AA,5,17,32.0
SFO,LAX,UA,5,22,30.0
PHX,BOS,US,3,8,38.0
ORD,BOS,AA,5,21,72.0
SFO,ORD,UA,7,13,86.0
SFO,ATL,DL,2,9,8.0
IAH,SFO,UA,6,9,29.0
LAX,SFO,WN,1,19,55.0
DEN,LAS,WN,3,16,79.0
LAS,SFO,WN,5,20,45.0
SFO,LAS,OO,5,13,10.0
DFW,DEN,AA,2,14,50.0
DFW,BOS,AA,4,17,77.0
ATL,BOS,DL,1,12,11.0
PHX,LAX,OO,5,6,22.0
ORD,DFW,AA,6,12,45.0
LAS,SFO,UA,1,14,105.0
SFO,DFW,AA,5,10,20.0
ATL,LAS,DL,5,21,5.0
ORD,IAH,UA,1,9,22.0
ORD,BOS,AA,1,15,27.0
IAH,ORD,UA,4,15,7.0
LAX,DEN,WN,6,18,74.0
DFW,ORD,AA,7,17,22.0
ORD,BOS,AA,6,12,58.0
ATL,DFW,AA,3,15,5.0
PHX,IAH,AA,1,12,12.0
LAS,DEN,WN,7,20,122.0
ORD,BOS,AA,4,6,34.0
ATL,DEN,F9,2,7,135.0
PHX,LAS,WN,2,17,34.0
DEN,BOS,WN,4,10,46.0
ATL,LAS,DL,5,11,6.0
DEN,DFW,AA,2,16,208.0
DFW,DEN,AA,2,14,33.0
LAS,SFO,WN,1,21,49.0
PHX,SFO,WN,4,14,18.0
PHX,DEN,WN,2,17,74.0
IAH,BOS,UA,6,9,24.0
SFO,LAX,AA,2,13,12.0
LAX,PHX,AA,4,7,5.0
DFW,SFO,OO,5,19,58.0
DEN,DFW,AA,1,19,25.0
DFW,ATL,AA,6,7,7.0
ORD,SFO,AA,5,12,69.0
DFW,ATL,DL,3,18,45.0
LAX,LAS,WN,4,22,7.0
DFW,IAH,AA,4,17,6.0
LAX,ORD,AA,3,7,25.0
LAS,DFW,AA,7,12,107.0
ORD,SFO,UA,4,7,48.0
BOS,DEN,WN,2,11,45.0
IAH,LAS,UA,1,12,30.0
ORD,BOS,OO,6,11,15.0
LAX,SFO,UA,5,8,156.0
LAX,LAS,WN,1,7,7.0
LAS,BOS,B6,5,23,12.0
ORD,SFO,UA,5,9,15.0
DFW,DEN,AA,2,22,6.0
LAS,LAX,AA,3,13,32.0
IAH,DEN,F9,5,18,49.0
LAS,LAX,WN,4,14,5.0
ATL,ORD,DL,1,16,36.0
DEN,LAX,UA,4,11,13.0
ORD,BOS,B6,1,18,92.0
PHX,DEN,WN,7,16,5.0
ORD,PHX,AA,4,14,14.0
DEN,LAX,F9,5,17,94.0
ORD,BOS,AA,3,18,224.0
LAS,SFO,UA,4,9,63.0
IAH,ORD,UA,4,16,24.0
LAX,IAH,UA,3,12,19.0
ATL,SFO,DL,6,11,149.0
LAS,SFO,UA,7,12,10.0
LAX,PHX,US,5,16,13.0
DEN,ORD,AA,3,17,11.0
SFO,ATL,UA,3,9,23.0
ATL,BOS,DL,7,13,7.0
IAH,PHX,US,5,15,22.0
IAH,BOS,UA,1,12,174.0
LAS,PHX,WN,2,18,32.0
IAH,DFW,AA,2,10,459.0
LAX,ATL,DL,2,14,23.0
LAS,ORD,AA,5,7,15.0
DFW,SFO,OO,2,6,28.0
DFW,LAX,OO,2,18,23.0
PHX,DEN,UA,2,18,23.0
DEN,BOS,UA,4,9,18.0
DEN,LAS,WN,2,14,19.0
LAX,LAS,AA,1,15,14.0
SFO,LAX,AA,1,18,100.0
IAH,BOS,UA,5,7,9.0
SFO,LAX,AA,5,18,19.0
SFO,DFW,AA,1,15,53.0
LAX,LAS,OO,5,15,7.0
LAX,DEN,WN,1,16,27.0
DFW,LAX,AA,1,17,13.0
LAS,ORD,AA,3,15,51.0
LAS,LAX,DL,5,18,33.0
IAH,ORD,UA,4,15,8.0
ATL,DEN,WN,1,18,73.0
DEN,BOS,B6,2,11,25.0
ORD,BOS,AA,2,18,152.0
IAH,PHX,US,4,5,14.0
ORD,LAS,AA,2,19,99.0
ATL,SFO,DL,4,13,18.0
IAH,BOS,UA,2,15,9.0
ATL,DFW,AA,1,16,7.0
BOS,LAX,B6,1,19,12.0
LAX,LAS,AA,5,9,11.0
DEN,DFW,AA,3,14,44.0
ORD,DEN,UA,4,20,16.0
BOS,ORD,B6,5,13,35.0
PHX,DFW,AA,4,7,11.0
LAS,IAH,UA,1,17,63.0
PHX,DFW,AA,3,16,7.0
PHX,IAH,UA,7,7,19.0
IAH,DFW,AA,3,14,14.0
SFO,LAX,WN,7,13,94.0
DEN,SFO,WN,3,8,33.0
ATL,DEN,F9,5,8,5.0
DFW,LAS,AA,5,7,5.0
DEN,ORD,UA,2,6,6.0
SFO,PHX,WN,3,11,15.0
DFW,DEN,AA,5,18,34.0
LAS,PHX,WN,7,11,23.0
ATL,DFW,DL,4,11,12.0
DEN,SFO,WN,7,21,50.0
ORD,SFO,AA,7,9,75.0
ORD,IAH,UA,6,16,28.0
ATL,BOS,WN,3,13,6.0
ORD,LAS,UA,7,8,22.0
BOS,DEN,B6,7,9,96.0
ATL,DFW,AA,6,16,6.0
SFO,LAS,WN,4,18,50.0
DFW,ATL,AA,3,13,8.0
DEN,IAH,UA,7,13,34.0
LAX,SFO,UA,1,20,13.0
LAX,ATL,F9,7,9,76.0
SFO,LAX,UA,6,13,5.0
LAX,ATL,DL,7,11,50.0
IAH,ORD,UA,7,21,24.0
ORD,PHX,UA,5,20,8.0
PHX,DEN,WN,6,11,9.0
PHX,IAH,US,7,12,18.0
DFW,BOS,AA,2,19,22.0
ORD,SFO,UA,4,18,51.0
ATL,IAH,OO,4,16,191.0
DEN,ORD,AA,6,7,9.0
ORD,LAS,AA,7,20,21.0
ORD,LAX,UA,7,10,9.0
BOS,DEN,WN,6,9,10.0
LAS,ORD,UA,7,11,11.0
LAS,PHX,WN,6,10,7.0
DFW,ORD,AA,3,19,20.0
IAH,PHX,AA,5,5,13.0
LAS,PHX,WN,1,15,30.0
ORD,BOS,UA,2,16,6.0
LAS,PHX,WN,2,17,24.0
IAH,DEN,UA,1,17,53.0
LAS,LAX,WN,3,20,12.0
ORD,LAS,UA,6,19,5.0
PHX,ORD,AA,5,13,19.0
LAX,BOS,AA,3,13,22.0
ORD,LAS,AA,5,21,113.0
DEN,ORD,UA,5,16,59.0
BOS,LAX,AA,7,8,38.0
LAX,SFO,WN,5,16,45.0
LAX,PHX,WN,1,19,21.0
LAX,DEN,UA,3,10,274.0
SFO,LAX,WN,5,21,49.0
DEN,LAX,WN,6,9,12.0
ORD,BOS,AA,7,13,57.0
LAX,LAS,WN,4,12,5.0
LAX,LAS,WN,2,15,36.0
SFO,PHX,WN,4,8,7.0
ORD,ATL,OO,1,20,9.0
ATL,LAS,DL,1,8,67.0
LAS,LAX,WN,5,17,16.0
DEN,PHX,UA,2,19,5.0
PHX,DEN,F9,5,16,19.0
LAX,ATL,WN,5,14,21.0
PHX,SFO,AA,4,8,121.0
ATL,DFW,DL,6,12,9.0
LAS,ORD,UA,3,23,58.0
LAX,SFO,UA,5,9,11.0
DFW,LAS,AA,6,14,32.0
ATL,LAS,DL,7,9,8.0
LAX,ORD,UA,4,6,28.0
ATL,IAH,DL,4,9,21.0
DFW,SFO,AA,2,20,7.0
LAS,DFW,AA,1,12,34.0
ATL,LAX,DL,4,7,15.0
DFW,LAX,AA,7,20,33.0
LAX,SFO,AA,6,10,59.0
LAS,ORD,AA,4,12,11.0
DEN,SFO,UA,4,8,67.0
DEN,LAS,WN,1,15,16.0
ORD,DFW,UA,4,9,18.0
ORD,LAX,AA,5,13,131.0
ORD,LAX,UA,1,21,6.0
SFO,PHX,OO,3,21,59.0
PHX,BOS,WN,1,12,181.0
ORD,DEN,UA,1,10,115.0
PHX,SFO,WN,3,19,33.0
LAX,DFW,AA,2,16,8.0
LAX,SFO,WN,3,12,45.0
LAX,ORD,UA,1,14,14.0
SFO,DEN,UA,3,8,40.0
IAH,DFW,AA,4,19,116.0
ORD,DEN,AA,7,15,101.0
ATL,BOS,DL,6,11,19.0
PHX,LAS,US,3,16,12.0
SFO,DEN,WN,5,6,10.0
ORD,SFO,UA,7,10,16.0
LAX,SFO,WN,3,13,15.0
LAX,DEN,F9,4,11,5.0
SFO,IAH,F9,1,9,13.0
BOS,PHX,US,1,9,30.0
LAX,PHX,OO,1,21,35.0
SFO,ATL,DL,6,6,12.0
SFO,IAH,UA,3,11,9.0
BOS,DFW,AA,5,17,13.0
PHX,LAX,AA,2,17,125.0
SFO,LAS,WN,1,20,135.0
DEN,LAS,WN,7,14,16.0
PHX,LAS,AA,1,20,31.0
DFW,LAX,AA,6,9,9.0
DEN,ORD,UA,7,16,13.0
SFO,ORD,AA,7,23,5.0
SFO,ORD,AA,4,10,75.0
IAH,PHX,UA,3,9,228.0
DEN,LAS,F9,3,16,222.0
ORD,SFO,UA,2,14,13.0
DFW,DEN,F9,1,15,107.0
DFW,PHX,AA,4,8,15.0
PHX,LAS,US,4,20,12.0
LAS,DEN,F9,1,17,5.0
LAX,LAS,WN,6,10,6.0
ORD,DEN,UA,1,17,63.0
ATL,PHX,DL,4,20,14.0
PHX,BOS,AA,7,15,231.0
LAX,ATL,DL,1,23,15.0
LAX,DEN,WN,1,16,27.0
LAX,IAH,UA,4,11,19.0
BOS,PHX,US,5,10,5.0
DEN,DFW,UA,5,10,39.0
IAH,DEN,UA,5,15,32.0
ORD,BOS,AA,1,15,168.0
LAX,IAH,UA,5,0,6.0
DFW,ATL,DL,5,13,72.0
PHX,SFO,WN,6,19,7.0
ORD,BOS,AA,5,21,5.0
IAH,DFW,AA,4,17,47.0
ORD,DFW,AA,1,16,20.0
DFW,ATL,EV,1,6,9.0
SFO,LAS,OO,6,6,18.0
ATL,LAX,WN,6,14,45.0
DFW,ATL,DL,4,14,27.0
DEN,ATL,OO,1,14,197.0
SFO,LAX,UA,5,11,216.0
PHX,LAS,WN,7,12,6.0
ORD,DEN,UA,6,18,24.0
SFO,LAX,AA,7,15,5.0
IAH,LAX,UA,1,7,46.0
DFW,ORD,AA,6,13,12.0
LAX,SFO,AA,4,15,10.0
DFW,LAX,AA,4,21,90.0
LAS,DEN,UA,6,8,132.0
DFW,LAX,AA,3,11,68.0
LAS,LAX,WN,2,20,15.0
SFO,ORD,UA,6,6,16.0
ORD,DFW,AA,3,14,7.0
DFW,ATL,DL,3,12,11.0
IAH,DEN,UA,1,17,13.0
IAH,ORD,UA,2,17,33.0
IAH,BOS,UA,3,9,6.0
PHX,ORD,AA,4,8,133.0
PHX,DFW,US,5,13,14.0
LAX,ATL,WN,7,8,8.0
LAS,LAX,WN,3,16,17.0
LAS,PHX,WN,7,15,31.0
LAX,DFW,OO,6,8,15.0
LAX,LAS,WN,1,11,64.0
DFW,ATL,AA,4,16,36.0
ORD,LAX,UA,1,15,5.0
LAS,LAX,UA,1,14,87.0
IAH,ORD,UA,6,17,212.0
LAX,DEN,WN,1,21,35.0
ORD,SFO,AA,6,7,12.0
IAH,LAX,UA,6,13,13.0
LAS,DFW,AA,4,17,19.0
PHX,LAX,WN,3,16,99.0
ATL,PHX,US,3,11,12.0
IAH,ORD,UA,7,15,91.0
ORD,IAH,UA,5,17,19.0
SFO,LAX,AA,5,8,12.0
IAH,DFW,AA,2,17,54.0
SFO,IAH,UA,1,10,16.0
LAX,SFO,WN,4,11,156.0
SFO,LAX,OO,1,9,11.0
DFW,ATL,DL,4,13,338.0
IAH,BOS,UA,6,16,45.0
DEN,ORD,UA,4,12,11.0
LAX,LAS,DL,4,18,45.0
BOS,LAS,B6,4,12,25.0
PHX,LAS,WN,1,17,9.0
SFO,PHX,WN,5,16,7.0
LAX,PHX,WN,1,16,18.0
PHX,DEN,WN,1,18,10.0
ATL,IAH,OO,2,16,190.0
IAH,ATL,DL,2,18,5.0
LAX,PHX,US,2,21,54.0
LAX,PHX,OO,4,14,12.0
ORD,BOS,AA,1,15,17.0
ORD,SFO,UA,7,19,20.0
DFW,SFO,AA,3,16,7.0
LAS,LAX,UA,7,19,20.0
LAX,ORD,AA,7,14,143.0
LAX,DEN,WN,1,15,5.0
LAX,SFO,DL,5,16,8.0
DFW,IAH,AA,7,18,91.0
PHX,LAX,AA,6,14,130.0
LAX,PHX,WN,3,6,5.0
BOS,ATL,WN,3,16,28.0
IAH,DEN,UA,1,21,18.0
ORD,BOS,AA,6,17,26.0
PHX,DEN,UA,7,16,36.0
SFO,DEN,WN,5,12,134.0
DEN,SFO,UA,1,9,8.0
DFW,ATL,DL,4,8,6.0
ATL,ORD,OO,7,7,23.0
IAH,ORD,UA,1,21,27.0
LAX,BOS,UA,2,7,5.0
ATL,PHX,AA,3,8,7.0
PHX,LAX,WN,4,12,12.0
BOS,DFW,AA,7,17,40.0
BOS,IAH,UA,3,16,32.0
BOS,ORD,UA,2,15,12.0
DEN,DFW,OO,1,14,11.0
LAX,ORD,UA,3,6,12.0
LAS,ORD,UA,6,6,12.0
PHX,DFW,AA,1,17,6.0
LAS,LAX,DL,6,6,6.0
PHX,IAH,UA,3,13,31.0
ORD,DFW,UA,2,20,45.0
DEN,SFO,WN,6,20,19.0
DFW,ORD,AA,4,18,16.0
SFO,DFW,UA,5,13,62.0
IAH,LAX,UA,5,10,13.0
SFO,ORD,UA,2,0,187.0
ATL,DEN,WN,4,15,46.0
LAX,LAS,WN,2,12,27.0
SFO,LAX,WN,4,16,172.0
BOS,ORD,UA,3,17,95.0
ORD,LAX,AA,1,8,29.0
DEN,SFO,F9,2,21,16.0
ATL,SFO,DL,3,9,21.0
SFO,DFW,UA,4,8,41.0
